Compound_ID,atom_index_0based,atom_index_1based,element,Mulliken_charge,Loewdin_charge,is_heavy_atom,sp_output,opt_xyz
CMR_GOLD_079,0,1,O,-0.373752,-0.255483,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\output\CMR_GOLD_079_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\geometry\CMR_GOLD_079_opt.xyz
CMR_GOLD_079,1,2,C,0.155998,0.098784,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\output\CMR_GOLD_079_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\geometry\CMR_GOLD_079_opt.xyz
CMR_GOLD_079,2,3,N,-0.141646,0.022323,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\output\CMR_GOLD_079_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\geometry\CMR_GOLD_079_opt.xyz
CMR_GOLD_079,3,4,C,0.313229,0.052385,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\output\CMR_GOLD_079_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\geometry\CMR_GOLD_079_opt.xyz
CMR_GOLD_079,4,5,C,-0.121088,-0.081046,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\output\CMR_GOLD_079_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\geometry\CMR_GOLD_079_opt.xyz
CMR_GOLD_079,5,6,C,0.082845,0.01228,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\output\CMR_GOLD_079_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\geometry\CMR_GOLD_079_opt.xyz
CMR_GOLD_079,6,7,N,-0.110546,0.108228,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\output\CMR_GOLD_079_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\geometry\CMR_GOLD_079_opt.xyz
CMR_GOLD_079,7,8,C,0.033942,-0.04142,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\output\CMR_GOLD_079_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\geometry\CMR_GOLD_079_opt.xyz
CMR_GOLD_079,8,9,C,0.237921,0.092298,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\output\CMR_GOLD_079_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\geometry\CMR_GOLD_079_opt.xyz
CMR_GOLD_079,9,10,O,-0.221335,-0.198076,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\output\CMR_GOLD_079_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_079\geometry\CMR_GOLD_079_opt.xyz
