Compound_ID,atom_index_0based,atom_index_1based,element,Mulliken_charge,Loewdin_charge,is_heavy_atom,sp_output,opt_xyz
CMR_GOLD_092,21,22,C,-0.063247,-0.058228,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,22,23,C,-0.0011,-0.021184,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,23,24,C,-0.117876,-0.07054,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,24,25,C,0.188507,0.027673,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,25,26,O,-0.329391,-0.106193,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,26,27,C,0.171261,0.084135,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,27,28,C,0.1361,0.013452,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,28,29,O,-0.365527,-0.151763,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,29,30,C,0.194028,0.084045,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,30,31,C,-0.064263,-0.03926,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
